13:16:57.295 [main] INFO  com.solvd.agency.Main - Start
13:17:02.152 [main] INFO  com.solvd.agency.Main - Enter name: 
13:17:04.919 [main] INFO  com.solvd.agency.Main - Enter surname: 
13:17:10.055 [main] INFO  com.solvd.agency.Main - Enter phone number: 
13:17:12.544 [main] INFO  com.solvd.agency.Main - Customer created
13:17:23.454 [main] INFO  com.solvd.agency.person.Customer - jakub gniadek 111222333 0.0
14:05:24.755 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
15:52:38.348 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 1.Display agents
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 3. Display customers
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:52:38.350 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:53:14.534 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 1.Display agents
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 3. Display customers
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:53:14.535 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:53:14.536 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:53:19.326 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 1.Display agents
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 3. Display customers
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:53:19.327 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:53:19.328 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:53:19.328 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:25.347 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
15:54:25.349 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:25.349 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:25.349 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:25.349 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:25.350 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:27.445 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:27.445 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:27.445 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:27.445 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:27.445 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:27.446 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:28.153 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:28.153 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:28.153 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:28.153 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:28.154 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:29.369 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:29.369 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:29.370 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:29.371 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:29.371 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:34.641 [main] INFO  com.solvd.agency.Main - Enter name: 
15:54:36.817 [main] INFO  com.solvd.agency.Main - Enter surname: 
15:54:38.024 [main] INFO  com.solvd.agency.Main - Enter phone number: 
15:54:40.961 [main] INFO  com.solvd.agency.utils.CreationUtils - Customer created
15:54:40.961 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:40.961 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:40.961 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:40.961 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:40.961 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:40.961 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:40.962 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:40.962 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:40.962 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:40.962 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:40.962 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:40.962 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:43.120 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:44.405 [main] INFO  com.solvd.agency.person.Customer - jakub gniadek 111222333 0.0
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:44.407 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:44.407 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:53.116 [main] INFO  com.solvd.agency.utils.Utils - Enter the phone number:
15:54:56.806 [main] INFO  com.solvd.agency.Main - Enter balance to add
